plan_id,direction,entry_time,n_trades,net_pnl_pips,net_pnl_usd,result
189,BUY,2026-05-06 05:33:00,1,-148.0,-99.16,LOSS
190,SELL,2026-05-07 00:13:00,1,331.6,198.96,WIN
191,BUY,2026-05-07 00:27:00,1,-145.0,-98.6,LOSS
192,SELL,2026-05-07 05:36:00,1,-192.2,-99.94,LOSS
193,SELL,2026-05-07 20:04:00,1,582.4,198.02,WIN
194,SELL,2026-05-08 05:32:00,1,-255.4,-99.61,LOSS
195,SELL,2026-05-11 01:07:00,1,713.6,199.81,WIN
196,SELL,2026-05-11 12:31:00,1,-394.6,-98.65,LOSS
197,BUY,2026-05-12 09:39:00,1,221.2,199.08,WIN
198,SELL,2026-05-13 00:07:00,1,359.6,197.78,WIN
199,BUY,2026-05-14 23:36:00,1,-260.0,-98.8,LOSS
200,BUY,2026-05-15 04:24:00,1,350.0,199.5,WIN
201,SELL,2026-05-17 22:09:00,1,1327.8,292.12,WIN
202,BUY,2026-05-18 00:07:00,1,-214.8,-98.81,LOSS
203,SELL,2026-05-18 19:06:00,1,901.6,198.35,WIN
204,SELL,2026-05-18 23:06:00,1,-154.4,-98.82,LOSS
205,BUY,2026-05-19 00:06:00,1,384.4,199.89,WIN
206,BUY,2026-05-19 00:27:00,1,-239.3,-98.13,LOSS
207,SELL,2026-05-19 09:26:00,1,378.0,196.56,WIN
210,SELL,2026-05-20 14:19:00,1,-572.0,-97.24,LOSS
211,SELL,2026-05-21 01:14:00,1,-328.8,-98.64,LOSS
212,BUY,2026-05-21 05:10:00,1,-139.8,-99.26,LOSS
213,SELL,2026-05-21 17:12:00,1,-223.6,-98.38,LOSS
214,BUY,2026-05-22 05:59:00,1,855.6,196.79,WIN
215,SELL,2026-05-25 14:08:00,1,275.6,198.43,WIN
217,SELL,2026-05-26 09:21:00,1,224.0,199.36,WIN
218,BUY,2026-05-26 09:34:00,1,-157.6,-99.29,LOSS
222,BUY,2026-05-27 17:11:00,1,342.9,198.89,WIN
223,SELL,2026-05-27 22:02:00,1,-169.4,-99.95,LOSS
224,SELL,2026-05-28 00:20:00,1,504.0,297.36,WIN
225,BUY,2026-05-28 00:30:00,1,-157.6,-99.29,LOSS
226,BUY,2026-05-29 05:35:00,1,-100.0,-100.0,LOSS
227,SELL,2026-05-29 07:37:00,1,-195.8,-99.86,LOSS
228,BUY,2026-05-29 12:03:00,1,-163.1,-99.52,LOSS
229,BUY,2026-06-02 12:39:00,1,-192.2,-99.94,LOSS
230,BUY,2026-06-02 17:38:00,1,-151.8,-98.67,LOSS
232,BUY,2026-06-03 04:23:00,1,-123.9,-99.09,LOSS
234,BUY,2026-06-04 13:56:00,1,-254.0,-99.06,LOSS
237,SELL,2026-06-05 09:17:00,1,565.8,299.87,WIN
238,SELL,2026-06-08 09:41:00,1,-398.2,-99.55,LOSS
