plan_id,tag,direction,kind,entry_time,entry,sl,tp,exit_time,exit_price,result,lot,pnl_pips,pnl_usd,entry_bar,exit_bar
89,ไม้1:แม่0%,SELL,LIMIT,2026-03-02 23:06:00,5344.248,5348.878,5330.358,2026-03-02 23:23:00,5330.358,TP,0.21,1389.0,291.69,54472,54489
91,ไม้1:แม่0%,BUY,LIMIT,2026-03-04 08:06:00,5156.258,5153.253,5162.269,2026-03-04 08:08:00,5153.253,SL,0.33,-300.5,-99.18,56392,56394
93,ไม้1:แม่0%,SELL,LIMIT,2026-03-05 02:55:00,5188.01,5190.228,5183.574,2026-03-05 02:56:00,5190.228,SL,0.45,-221.8,-99.81,57461,57462
94,ไม้1:แม่0%,BUY,LIMIT,2026-03-06 05:00:00,5126.785,5125.271,5129.813,2026-03-06 05:00:00,5125.271,SL,0.66,-151.4,-99.92,58964,58964
95,ไม้1:แม่0%,SELL,LIMIT,2026-03-06 13:32:00,5118.395,5125.658,5103.868,2026-03-06 13:33:00,5125.658,SL,0.13,-726.3,-94.42,59476,59477
96,ไม้1:แม่0%,SELL,LIMIT,2026-03-09 05:08:00,5100.83,5104.634,5089.418,2026-03-09 05:19:00,5089.418,TP,0.26,1141.2,296.71,60412,60423
97,ไม้1:แม่0%,BUY,LIMIT,2026-03-09 13:44:00,5075.68,5069.151,5095.266,2026-03-09 13:45:00,5069.151,SL,0.15,-652.9,-97.93,60928,60929
99,ไม้1:แม่0%,BUY,LIMIT,2026-03-10 10:03:00,5179.231,5177.899,5181.895,2026-03-10 10:04:00,5177.899,SL,0.75,-133.2,-99.9,62087,62088
100,ไม้1:แม่0%,BUY,LIMIT,2026-03-10 17:20:00,5225.065,5223.203,5228.789,2026-03-10 17:21:00,5228.789,TP,0.53,372.4,197.37,62524,62525
102,ไม้1:แม่0%,BUY,LIMIT,2026-03-10 19:35:00,5184.285,5180.495,5191.865,2026-03-10 19:35:00,5180.495,SL,0.26,-379.0,-98.54,62659,62659
103,ไม้1:แม่0%,SELL,LIMIT,2026-03-12 06:28:00,5157.07,5159.05,5151.13,2026-03-12 06:31:00,5159.05,SL,0.5,-198.0,-99.0,64631,64634
104,ไม้1:แม่0%,BUY,LIMIT,2026-03-12 16:11:00,5122.75,5120.42,5127.41,2026-03-12 16:14:00,5127.41,TP,0.42,466.0,195.72,65214,65217
106,ไม้1:แม่0%,SELL,LIMIT,2026-03-13 12:03:00,5116.185,5120.201,5108.153,2026-03-13 12:11:00,5108.153,TP,0.24,803.2,192.77,66346,66354
107,ไม้1:แม่0%,SELL,LIMIT,2026-03-16 20:11:00,5019.955,5022.289,5012.953,2026-03-16 20:31:00,5012.953,TP,0.42,700.2,294.08,68214,68234
108,ไม้1:แม่0%,SELL,LIMIT,2026-03-17 04:32:00,5033.535,5034.874,5029.517,2026-03-17 04:44:00,5034.874,SL,0.74,-133.9,-99.12,68655,68667
110,ไม้1:แม่0%,SELL,LIMIT,2026-03-18 01:09:00,5012.035,5014.709,5004.013,2026-03-18 01:10:00,5014.709,SL,0.37,-267.4,-98.94,69832,69833
113,ไม้1:แม่0%,SELL,LIMIT,2026-03-19 17:22:00,4604.795,4610.663,4587.191,2026-03-19 17:22:00,4610.663,SL,0.17,-586.8,-99.76,72185,72185
114,ไม้1:แม่0%,SELL,LIMIT,2026-03-19 22:02:00,4658.755,4660.47,4655.324,2026-03-19 22:02:00,4655.324,TP,0.58,343.1,198.99,72405,72405
115,ไม้1:แม่0%,BUY,LIMIT,2026-03-20 00:25:00,4644.65,4640.772,4652.406,2026-03-20 00:39:00,4652.406,TP,0.25,775.6,193.9,72548,72562
116,ไม้1:แม่0%,BUY,LIMIT,2026-03-20 05:05:00,4711.045,4708.961,4715.213,2026-03-20 05:13:00,4715.213,TP,0.47,416.8,195.9,72828,72836
117,ไม้1:แม่0%,BUY,LIMIT,2026-03-20 08:35:00,4705.925,4700.271,4717.233,2026-03-20 08:38:00,4700.271,SL,0.17,-565.4,-96.12,73038,73041
119,ไม้1:แม่0%,SELL,LIMIT,2026-03-23 11:10:00,4415.845,4442.639,4362.257,2026-03-23 11:11:00,4442.639,SL,0.03,-2679.4,-80.38,74573,74574
120,ไม้1:แม่0%,BUY,LIMIT,2026-03-23 22:07:00,4374.898,4366.618,4391.458,2026-03-23 22:12:00,4391.458,TP,0.12,1656.0,198.72,75170,75175
121,ไม้1:แม่0%,SELL,LIMIT,2026-03-24 05:43:00,4371.13,4377.78,4357.83,2026-03-24 05:44:00,4357.83,TP,0.15,1330.0,199.5,75626,75627
122,ไม้1:แม่0%,BUY,LIMIT,2026-03-25 12:19:00,4563.295,4560.429,4569.027,2026-03-25 12:20:00,4560.429,SL,0.34,-286.6,-97.44,77402,77403
123,ไม้1:แม่0%,BUY,LIMIT,2026-03-26 02:37:00,4516.74,4514.264,4521.692,2026-03-26 02:37:00,4514.264,SL,0.4,-247.6,-99.04,78200,78200
125,ไม้1:แม่0%,SELL,LIMIT,2026-03-27 12:15:00,4425.86,4428.1,4421.38,2026-03-27 12:16:00,4428.1,SL,0.44,-224.0,-98.56,80158,80159
126,ไม้1:แม่0%,BUY,LIMIT,2026-03-27 12:22:00,4418.745,4416.078,4424.078,2026-03-27 12:25:00,4424.078,TP,0.37,533.3,197.33,80165,80168
127,ไม้1:แม่0%,BUY,LIMIT,2026-03-27 13:26:00,4427.078,4424.31,4432.614,2026-03-27 13:26:00,4424.31,SL,0.36,-276.8,-99.65,80229,80229
128,ไม้1:แม่0%,BUY,LIMIT,2026-03-30 02:36:00,4461.665,4459.118,4466.758,2026-03-30 02:37:00,4466.758,TP,0.39,509.3,198.63,80959,80960
129,ไม้1:แม่0%,BUY,LIMIT,2026-03-31 05:12:00,4555.185,4552.381,4563.597,2026-03-31 05:12:00,4552.381,SL,0.35,-280.4,-98.14,82495,82495
130,ไม้1:แม่0%,BUY,LIMIT,2026-03-31 16:00:00,4608.288,4605.346,4614.172,2026-03-31 16:01:00,4614.172,TP,0.33,588.4,194.17,83143,83144
131,ไม้1:แม่0%,SELL,LIMIT,2026-03-31 16:43:00,4647.57,4653.876,4634.958,2026-03-31 16:44:00,4634.958,TP,0.15,1261.2,189.18,83186,83187
134,ไม้1:แม่0%,BUY,LIMIT,2026-04-07 00:03:00,4649.92,4648.07,4653.62,2026-04-07 00:04:00,4653.62,TP,0.54,370.0,199.8,87703,87704
136,ไม้1:แม่0%,BUY,LIMIT,2026-04-07 09:32:00,4682.287,4680.365,4686.131,2026-04-07 09:32:00,4680.365,SL,0.52,-192.2,-99.94,88272,88272
137,ไม้1:แม่0%,SELL,LIMIT,2026-04-07 14:30:00,4648.435,4655.06,4635.184,2026-04-07 14:34:00,4655.06,SL,0.15,-662.5,-99.38,88570,88574
138,ไม้1:แม่0%,BUY,LIMIT,2026-04-07 18:54:00,4665.508,4662.83,4670.864,2026-04-07 18:55:00,4662.83,SL,0.37,-267.8,-99.09,88834,88835
